Geneid;ERR458493;ERR458494;;;;
YDL144C;104;111;;;;
YDL143W;357;386;;;;
YDL142C;23;21;;;;
YDL141W;60;57;;;;
YDL140C;597;576;;;;
YDL139C;20;17;;;;
YDL138W;54;66;;;;
YDL137W;300;309;;;;
YDL136W;25;20;;;;
YDL136W;213;205;;;;
YDL135C;64;52;;;;
YDL134C;193;174;;;;
YDL133C-A;294;286;;;;
YDL133W;48;45;;;;
YDL132W;169;156;;;;
YDL131W;132;157;;;;
YDL130W-A;55;42;;;;
YDL130W;503;461;;;;
YDL130W;763;686;;;;
YDL129W;6;7;;;;
YDL128W;141;129;;;;
YDL127W;14;7;;;;
YDL126C;1341;1323;;;;
YDL125C;226;215;;;;
YDL125C;43;48;;;;
YDL124W;340;394;;;;
YDL123W;44;56;;;;
YDL122W;116;117;;;;
YDL121C;41;41;;;;
YDL120W;58;53;;;;
YDL119C;24;26;;;;
YDL118W;9;6;;;;
YDL117W;43;50;;;;
YDL116W;48;58;;;;
YDL115C;45;35;;;;
YDL114W-A;9;5;;;;
YDL115C;9;7;;;;
YDL114W;1;0;;;;
YDL113C;46;66;;;;
YDL112W;59;57;;;;
YDL111C;51;46;;;;
YDL110C;293;235;;;;
YDL109C;17;22;;;;
YDL108W;1;0;;;;
YDL108W;35;31;;;;
YDL107W;19;19;;;;
YDL106C;67;56;;;;
YDL105W;15;12;;;;
YDL104C;17;17;;;;
YDL103C;65;63;;;;
YDL102W;39;40;;;;
YDL101C;30;22;;;;
YDL100C;331;320;;;;
YDL099W;85;87;;;;
YDL098C;8;7;;;;
YDL097C;352;363;;;;
YDL096C;21;23;;;;
YDL095W;232;248;;;;
YDL094C;5;0;;;;
YDL093W;53;49;;;;
YDL092W;63;66;;;;
YDL091C;33;43;;;;
YDL090C;46;25;;;;
YDL089W;27;26;;;;
YDL088C;63;61;;;;
YDL087C;24;28;;;;
YDL086W;148;188;;;;
YDL086C-A;83;112;;;;
YDL085C-A;21;17;;;;
YDL085W;6;7;;;;
YDL084W;420;399;;;;
YDL083C;921;863;;;;
YDL083C;62;66;;;;
YDL082W;45;38;;;;
YDL082W;561;547;;;;
YDL081C;829;716;;;;
YDL080C;45;70;;;;
YDL079C;73;64;;;;
YDL079C;22;28;;;;
YDL078C;240;235;;;;
YDL077C;40;31;;;;
YDL076C;50;59;;;;
YDL075W;312;301;;;;
YDL075W;848;819;;;;
snR63;8;6;;;;
YDL074C;53;51;;;;
YDL073W;46;51;;;;
YDL072C;249;227;;;;
YDL071C;12;6;;;;
YDL070W;146;132;;;;
YDL069C;9;12;;;;
YDL068W;6;7;;;;
YDL067C;34;22;;;;
YDL066W;220;200;;;;
YDL065C;49;44;;;;
YDL064W;0;6;;;;
YDL064W;37;38;;;;
YDL063C;14;11;;;;
YDL062W;0;0;;;;
YDL061C;405;382;;;;
YDL060W;67;77;;;;
YDL059C;22;15;;;;
YDL058W;72;71;;;;
YDL057W;28;10;;;;
YDL056W;44;41;;;;
YDL055C;1684;1607;;;;
tK(UUU)D;0;0;;;;
tK(UUU)D;0;0;;;;
YDL054C;62;73;;;;
YDL053C;63;61;;;;
YDL052C;152;151;;;;
YDL051W;112;88;;;;
YDL050C;55;39;;;;
YDL049C;36;32;;;;
YDL048C;168;219;;;;
YDL047W;68;71;;;;
YDL046W;229;217;;;;
YDL045W-A;37;36;;;;
YDL045C;56;66;;;;
YDL044C;9;12;;;;
YDL043C;23;17;;;;
YDL042C;26;21;;;;
YDL041W;3;3;;;;
YDL040C;111;109;;;;
YDL039C;191;173;;;;
YDL037C;30;28;;;;
YDL036C;24;19;;;;
YDL035C;64;75;;;;
YDL034W;5;5;;;;
YDL033C;22;10;;;;
YDL032W;4;1;;;;
YDL031W;57;60;;;;
YDL030W;22;26;;;;
YDL029W;10;7;;;;
YDL029W;361;338;;;;
YDL028C;41;39;;;;
YDL027C;57;56;;;;
YDL026W;19;18;;;;
YDL025C;137;126;;;;
YDL025W-A;30;16;;;;
YDL024C;4;2;;;;
YDL022C-A;0;0;;;;
tA(AGC)D;0;0;;;;
YDL023C;62;76;;;;
YDL022W;681;658;;;;
YDL021W;10;25;;;;
YDL020C;103;103;;;;
YDL019C;203;222;;;;
YDL018C;19;23;;;;
YDL017W;21;24;;;;
YDL016C;25;13;;;;
YDL015C;137;134;;;;
YDL014W;665;695;;;;
YDL013W;74;71;;;;
YDL012C;53;62;;;;
YDL012C;10;18;;;;
YDL011C;7;8;;;;
YDL010W;27;32;;;;
YDL009C;18;17;;;;
YDL008W;44;52;;;;
tT(AGU)D;0;0;;;;
YDL007C-A;0;0;;;;
tS(AGA)D1;0;0;;;;
YDL007W;323;287;;;;
YDL006W;40;39;;;;
YDL005C;66;78;;;;
YDL004W;108;120;;;;
YDL003W;34;36;;;;
YDL002C;16;33;;;;
YDL001W;15;12;;;;
YDR001C;283;287;;;;
YDR002W;361;385;;;;
YDR003W;56;60;;;;
YDR003W-A;14;11;;;;
YDR004W;26;26;;;;
YDR005C;41;45;;;;
YDR005C;0;3;;;;
YDR006C;79;72;;;;
YDR007W;68;67;;;;
YDR008C;32;31;;;;
YDR009W;13;17;;;;
YDR010C;3;3;;;;
YDR011W;287;283;;;;
YDR012W;476;508;;;;
YDR013W;19;19;;;;
YDR014W;2;7;;;;
YDR014W-A;2;0;;;;
YDR015C;1;0;;;;
YDR016C;25;30;;;;
YDR017C;84;86;;;;
YDR018C;5;13;;;;
YDR019C;167;176;;;;
YDR020C;9;8;;;;
YDR021W;1;6;;;;
YDR022C;15;20;;;;
tV(UAC)D;0;0;;;;
YDR023W;360;347;;;;
YDR024W;5;0;;;;
YDR025W;70;67;;;;
YDR025W;1236;1199;;;;
YDR026C;63;41;;;;
YDR027C;70;68;;;;
YDR028C;286;304;;;;
YDR029W;4;0;;;;
YDR030C;6;14;;;;
YDR031W;11;6;;;;
YDR032C;311;297;;;;
YDR033W;640;651;;;;
YDR034C;41;39;;;;
YDR034C-D;2;1;;;;
YDR034C-C;0;0;;;;
YDR034C-D;0;0;;;;
tL(UAA)D;0;0;;;;
YDR034C-A;1;0;;;;
tQ(UUG)D1;0;0;;;;
YDR034W-B;4;5;;;;
YDR035W;382;378;;;;
YDR036C;59;65;;;;
YDR037W;792;850;;;;
YDR038C;21;13;;;;
YDR039C;0;0;;;;
YDR040C;18;20;;;;
YDR041W;68;71;;;;
YDR042C;1;1;;;;
snR47;0;3;;;;
YDR043C;15;19;;;;
YDR044W;253;283;;;;
YDR045C;37;17;;;;
YDR046C;318;316;;;;
YDR047W;102;115;;;;
YDR048C;0;1;;;;
YDR049W;28;22;;;;
YDR050C;5855;5603;;;;
YDR051C;49;34;;;;
YDR052C;60;61;;;;
YDR053W;9;8;;;;
YDR054C;177;168;;;;
YDR055W;285;274;;;;
YDR056C;113;119;;;;
YDR057W;57;48;;;;
YDR058C;15;13;;;;
tR(UCU)D;0;0;;;;
tD(GUC)D;0;0;;;;
YDR059C;29;26;;;;
YDR059C;4;5;;;;
YDR060W;72;83;;;;
YDR061W;57;56;;;;
YDR062W;224;210;;;;
YDR063W;47;44;;;;
YDR064W;150;136;;;;
YDR064W;1392;1375;;;;
YDR065W;10;9;;;;
YDR066C;13;11;;;;
YDR067C;33;36;;;;
YDR068W;68;62;;;;
YDR069C;36;37;;;;
YDR070C;7;14;;;;
YDR071C;105;113;;;;
YDR072C;176;165;;;;
YDR073W;88;86;;;;
YDR074W;742;814;;;;
YDR075W;11;13;;;;
YDR076W;8;14;;;;
YDR077W;5211;5202;;;;
YDR078C;7;5;;;;
YDR079W;11;4;;;;
YDR079C-A;9;7;;;;
YDR080W;30;21;;;;
YDR081C;51;39;;;;
YDR082W;17;20;;;;
YDR083W;23;14;;;;
YDR084C;57;55;;;;
YDR085C;115;90;;;;
YDR086C;110;101;;;;
YDR087C;51;54;;;;
YDR088C;41;30;;;;
tR(ACG)D;0;0;;;;
YDR089W;79;83;;;;
YDR090C;46;38;;;;
YDR091C;70;64;;;;
YDR092W;6;10;;;;
YDR092W;83;70;;;;
YDR093W;284;286;;;;
YDR094W;62;67;;;;
YDR095C;7;8;;;;
YDR096W;152;156;;;;
YDR097C;42;35;;;;
YDR098C;70;92;;;;
tQ(UUG)D2;0;0;;;;
YDR098C-B;0;5;;;;
YDR098C-A;0;0;;;;
YDR098C-B;0;0;;;;
YDR099W;334;296;;;;
YDR100W;32;37;;;;
YDR101C;38;36;;;;
YDR102C;0;3;;;;
YDR103W;48;38;;;;
YDR104C;18;19;;;;
YDR105C;49;62;;;;
YDR106W;2;0;;;;
tI(AAU)D;0;0;;;;
YDR107C;36;36;;;;
YDR108W;31;34;;;;
YDR109C;34;34;;;;
YDR110W;25;26;;;;
YDR111C;53;49;;;;
YDR112W;7;5;;;;
YDR113C;42;36;;;;
YDR114C;18;14;;;;
YDR115W;49;49;;;;
YDR116C;60;66;;;;
YDR117C;45;48;;;;
YDR118W;6;12;;;;
YDR118W-A;2;3;;;;
YDR119W;83;80;;;;
YDR119W-A;15;12;;;;
YDR120C;42;43;;;;
YDR121W;41;33;;;;
YDR122W;190;208;;;;
YDR123C;11;13;;;;
YDR124W;9;12;;;;
YDR125C;5;10;;;;
YDR126W;28;20;;;;
YDR127W;328;307;;;;
YDR128W;72;82;;;;
YDR129C;477;461;;;;
YDR129C;2;1;;;;
YDR130C;18;26;;;;
YDR131C;9;17;;;;
YDR132C;18;16;;;;
YDR133C;523;546;;;;
YDR134C;786;817;;;;
YDR135C;259;226;;;;
YDR136C;1;2;;;;
YDR137W;41;32;;;;
YDR138W;22;32;;;;
YDR139C;22;19;;;;
YDR139C;26;20;;;;
YDR140W;21;18;;;;
YDR141C;71;80;;;;
YDR142C;40;23;;;;
YDR143C;91;86;;;;
YDR144C;76;66;;;;
YDR145W;116;115;;;;
YDR146C;48;36;;;;
YDR147W;22;25;;;;
YDR148C;147;159;;;;
YDR149C;3;3;;;;
YDR150W;142;128;;;;
YDR151C;51;46;;;;
YDR152W;116;101;;;;
YDR153C;74;77;;;;
YDR154C;2291;2362;;;;
YDR155C;3170;3263;;;;
YDR156W;30;33;;;;
YDR157W;4;10;;;;
YDR158W;525;456;;;;
YDR159W;41;41;;;;
YDR160W;60;55;;;;
YDR161W;45;47;;;;
YDR162C;49;45;;;;
YDR163W;20;22;;;;
YDR164C;59;31;;;;
YDR165W;54;40;;;;
YDR166C;35;40;;;;
YDR167W;76;51;;;;
YDR168W;78;75;;;;
YDR169C;76;99;;;;
YDR169C-A;0;1;;;;
YDR170C;238;232;;;;
tQ(UUG)D3;0;0;;;;
YDR170W-A;19;16;;;;
YDR171W;537;474;;;;
YDR172W;309;280;;;;
YDR173C;24;20;;;;
YDR174W;209;223;;;;
YDR175C;51;57;;;;
YDR176W;80;82;;;;
YDR177W;136;119;;;;
YDR178W;118;119;;;;
YDR179C;1;1;;;;
YDR179W-A;6;6;;;;
YDR180W;24;12;;;;
YDR181C;38;29;;;;
YDR182W;77;91;;;;
YDR182W-A;1;1;;;;
YDR183W;18;11;;;;
YDR183C-A;0;1;;;;
YDR184C;7;12;;;;
YDR185C;22;14;;;;
YDR186C;141;166;;;;
YDR187C;94;89;;;;
YDR188W;486;486;;;;
YDR189W;88;92;;;;
YDR190C;189;225;;;;
YDR191W;11;12;;;;
YDR192C;26;34;;;;
YDR193W;9;13;;;;
YDR194C;64;76;;;;
YDR194W-A;0;0;;;;
YDR195W;19;15;;;;
YDR196C;79;75;;;;
YDR197W;16;12;;;;
YDR198C;16;20;;;;
YDR199W;11;9;;;;
YDR200C;45;44;;;;
YDR201W;25;23;;;;
YDR202C;38;36;;;;
YDR203W;13;9;;;;
YDR204W;92;69;;;;
YDR205W;38;42;;;;
YDR206W;95;101;;;;
YDR207C;54;60;;;;
YDR208W;49;76;;;;
YDR209C;135;121;;;;
YDR210W;96;89;;;;
YDR210W-B;0;0;;;;
YDR210W-A;0;0;;;;
YDR210W-B;0;0;;;;
YDR210C-D;3;5;;;;
YDR210C-C;1;2;;;;
YDR210C-D;1;2;;;;
tI(UAU)D;0;0;;;;
tI(UAU)D;0;0;;;;
YDR211W;105;124;;;;
YDR212W;202;209;;;;
YDR213W;51;83;;;;
YDR214W;140;168;;;;
YDR215C;2;2;;;;
YDR216W;51;50;;;;
YDR217C;45;38;;;;
YDR218C;1;0;;;;
YDR219C;29;22;;;;
YDR220C;0;0;;;;
YDR221W;61;58;;;;
YDR222W;10;5;;;;
YDR223W;13;16;;;;
YDR224C;567;569;;;;
YDR225W;663;568;;;;
YDR226W;543;513;;;;
YDR227W;34;25;;;;
YDR228C;50;29;;;;
YDR229W;69;73;;;;
YDR230W;23;20;;;;
YDR231C;39;43;;;;
YDR232W;200;176;;;;
YDR233C;281;294;;;;
YDR234W;94;91;;;;
YDR235W;17;20;;;;
YDR236C;40;48;;;;
YDR237W;44;50;;;;
YDR238C;294;301;;;;
YDR239C;33;24;;;;
YDR240C;12;9;;;;
YDR241W;3;3;;;;
tY(GUA)D;0;0;;;;
tY(GUA)D;0;0;;;;
YDR242W;22;36;;;;
YDR243C;23;21;;;;
YDR244W;52;69;;;;
YDR245W;123;117;;;;
YDR246W;73;74;;;;
YDR246W-A;10;10;;;;
YDR247W;70;61;;;;
YDR248C;32;27;;;;
YDR249C;6;9;;;;
YDR250C;1;1;;;;
YDR251W;239;196;;;;
YDR252W;6;4;;;;
YDR253C;15;24;;;;
YDR254W;28;20;;;;
YDR255C;35;35;;;;
YDR256C;21;28;;;;
YDR257C;42;32;;;;
YDR258C;156;178;;;;
YDR259C;7;8;;;;
YDR260C;35;35;;;;
YDR261C;104;108;;;;
tS(AGA)D2;0;0;;;;
YDR261W-B;3;1;;;;
YDR261W-A;3;1;;;;
YDR261W-B;1;3;;;;
YDR261C-D;7;8;;;;
YDR261C-C;0;0;;;;
YDR261C-D;0;0;;;;
tG(GCC)D2;1;2;;;;
YDR262W;73;76;;;;
YDR263C;5;5;;;;
YDR264C;181;154;;;;
YDR265W;35;28;;;;
YDR266C;51;47;;;;
YDR267C;91;57;;;;
YDR268W;26;17;;;;
YDR269C;5;4;;;;
YDR270W;34;35;;;;
YDR271C;6;5;;;;
YDR272W;56;65;;;;
YDR273W;19;13;;;;
YDR274C;43;36;;;;
YDR275W;42;46;;;;
YDR276C;394;427;;;;
YDR277C;172;195;;;;
YDR278C;0;0;;;;
tE(CUC)D;0;0;;;;
YDR279W;17;23;;;;
YDR280W;75;87;;;;
YDR281C;16;19;;;;
YDR282C;13;14;;;;
YDR283C;45;66;;;;
YDR284C;105;90;;;;
YDR285W;10;12;;;;
YDR286C;13;16;;;;
YDR287W;59;44;;;;
YDR288W;18;18;;;;
YDR289C;49;47;;;;
YDR290W;3;3;;;;
YDR291W;49;40;;;;
YDR292C;137;116;;;;
YDR293C;451;396;;;;
YDR294C;193;190;;;;
YDR295C;23;26;;;;
YDR296W;111;101;;;;
YDR297W;182;192;;;;
YDR298C;78;117;;;;
YDR299W;16;14;;;;
YDR300C;85;98;;;;
YDR301W;67;66;;;;
YDR302W;20;18;;;;
YDR303C;48;42;;;;
YDR304C;231;212;;;;
YDR305C;34;11;;;;
YDR305C;2;1;;;;
YDR306C;38;42;;;;
tV(CAC)D;0;0;;;;
YDR307W;38;36;;;;
YDR308C;18;20;;;;
YDR309C;49;64;;;;
YDR310C;79;109;;;;
YDR311W;58;48;;;;
YDR312W;16;15;;;;
YDR313C;22;26;;;;
YDR314C;10;12;;;;
YDR315C;14;14;;;;
YDR316W;22;20;;;;
tF(GAA)D;0;0;;;;
tF(GAA)D;0;0;;;;
YDR316W-B;0;0;;;;
YDR316W-A;0;0;;;;
YDR316W-B;0;0;;;;
YDR317W;12;7;;;;
YDR318W;0;1;;;;
YDR318W;14;18;;;;
YDR319C;46;27;;;;
YDR320C;37;37;;;;
YDR320C-A;21;26;;;;
YDR320W-B;0;0;;;;
YDR321W;128;142;;;;
YDR322W;32;44;;;;
YDR322C-A;45;45;;;;
YDR323C;10;2;;;;
YDR324C;28;32;;;;
YDR325W;27;31;;;;
YDR326C;58;70;;;;
YDR327W;186;199;;;;
YDR328C;345;351;;;;
YDR329C;88;89;;;;
YDR330W;107;102;;;;
YDR331W;38;44;;;;
YDR332W;22;25;;;;
YDR333C;58;51;;;;
YDR334W;116;100;;;;
YDR335W;162;153;;;;
YDR336W;13;27;;;;
YDR337W;36;29;;;;
YDR338C;46;31;;;;
YDR339C;41;27;;;;
tX(XXX)D;0;0;;;;
YDR340W;2;0;;;;
YDR341C;259;255;;;;
YDR342C;682;765;;;;
YDR343C;402;473;;;;
YDR344C;3;3;;;;
YDR345C;3487;3344;;;;
YDR346C;240;260;;;;
YDR347W;84;83;;;;
YDR348C;159;161;;;;
YDR349C;136;133;;;;
tM(CAU)D;0;0;;;;
YDR350C;23;44;;;;
YDR351W;51;42;;;;
YDR352W;42;48;;;;
YDR353W;642;638;;;;
YDR354W;131;147;;;;
YDR354C-A;32;42;;;;
YDR355C;2;1;;;;
YDR356W;32;31;;;;
YDR357C;8;10;;;;
YDR358W;97;82;;;;
YDR359C;52;59;;;;
YDR360W;5;1;;;;
YDR361C;51;43;;;;
YDR362C;41;36;;;;
YDR363W;23;25;;;;
tK(CUU)D1;0;0;;;;
YDR363W-A;79;59;;;;
YDR364C;17;20;;;;
YDR365C;167;186;;;;
YDR365W-B;0;0;;;;
YDR365W-A;0;0;;;;
YDR365W-B;2;0;;;;
YDR366C;0;1;;;;
YDR367W;0;1;;;;
YDR367W;33;27;;;;
YDR368W;111;105;;;;
YDR369C;20;27;;;;
YDR370C;26;23;;;;
YDR371W;29;26;;;;
YDR371C-A;2;1;;;;
YDR372C;153;152;;;;
YDR373W;47;52;;;;
YDR374C;0;1;;;;
YDR374W-A;4;7;;;;
YDR375C;47;44;;;;
YDR376W;43;38;;;;
YDR377W;83;73;;;;
YDR378C;66;71;;;;
YDR379W;90;88;;;;
YDR379C-A;4;3;;;;
YDR380W;56;45;;;;
YDR381W;80;79;;;;
YDR381W;111;118;;;;
YDR381C-A;17;18;;;;
YDR381C-A;1;1;;;;
YDR382W;1544;1492;;;;
YDR383C;23;12;;;;
YDR384C;70;81;;;;
YDR385W;292;282;;;;
YDR386W;21;17;;;;
YDR387C;59;59;;;;
YDR388W;440;453;;;;
YDR389W;67;55;;;;
YDR390C;80;74;;;;
tG(CCC)D;0;0;;;;
YDR391C;108;96;;;;
YDR392W;61;52;;;;
YDR393W;29;39;;;;
YDR394W;339;338;;;;
YDR395W;73;80;;;;
YDR396W;58;71;;;;
YDR397C;54;67;;;;
YDR397C;4;19;;;;
YDR398W;85;81;;;;
YDR399W;221;220;;;;
YDR400W;22;27;;;;
YDR401W;0;1;;;;
YDR402C;1;4;;;;
YDR403W;4;1;;;;
YDR404C;61;83;;;;
YDR405W;92;134;;;;
YDR406W;234;236;;;;
YDR406W-A;5;0;;;;
YDR407C;63;57;;;;
YDR408C;177;211;;;;
YDR409W;45;55;;;;
YDR410C;25;32;;;;
YDR411C;78;66;;;;
YDR412W;33;40;;;;
YDR413C;32;34;;;;
YDR414C;17;31;;;;
YDR415C;41;45;;;;
YDR416W;29;22;;;;
YDR417C;648;591;;;;
YDR418W;825;782;;;;
YDR419W;29;21;;;;
tS(AGA)D3;0;0;;;;
YDR420W;64;86;;;;
YDR421W;55;58;;;;
YDR422C;56;55;;;;
YDR423C;49;47;;;;
YDR424C;46;54;;;;
YDR424C;15;16;;;;
YDR424C;10;15;;;;
YDR425W;36;28;;;;
YDR426C;8;9;;;;
YDR427W;108;94;;;;
YDR428C;23;25;;;;
YDR429C;365;352;;;;
YDR430C;113;88;;;;
YDR431W;2;0;;;;
YDR432W;658;663;;;;
YDR433W;343;313;;;;
YDR434W;66;79;;;;
YDR435C;72;95;;;;
YDR436W;88;93;;;;
YDR437W;9;16;;;;
YDR438W;26;21;;;;
YDR439W;30;23;;;;
YDR440W;35;32;;;;
YDR441C;41;33;;;;
YDR442W;19;16;;;;
YDR443C;61;60;;;;
YDR444W;30;24;;;;
YDR445C;6;6;;;;
tK(CUU)D2;0;0;;;;
YDR446W;1;0;;;;
YDR447C;459;443;;;;
YDR447C;32;26;;;;
YDR448W;21;26;;;;
YDR449C;19;11;;;;
YDR450W;223;206;;;;
YDR450W;1106;1067;;;;
YDR451C;34;38;;;;
YDR452W;174;174;;;;
YDR453C;22;28;;;;
YDR454C;153;167;;;;
YDR455C;12;4;;;;
YDR456W;105;75;;;;
YDR457W;204;185;;;;
YDR458C;47;40;;;;
YDR459C;25;25;;;;
YDR460W;35;42;;;;
YDR461W;63;65;;;;
YDR461C-A;31;31;;;;
YDR462W;35;46;;;;
YDR463W;61;59;;;;
YDR464W;45;40;;;;
YDR464C-A;5;3;;;;
YDR465C;103;68;;;;
YDR466W;81;79;;;;
YDR467C;19;16;;;;
YDR468C;50;58;;;;
YDR469W;22;39;;;;
YDR470C;55;42;;;;
YDR471W;48;59;;;;
YDR471W;647;644;;;;
snR13;3;0;;;;
YDR472W;40;33;;;;
YDR473C;33;15;;;;
YDR475C;112;117;;;;
YDR476C;221;198;;;;
YDR477W;137;132;;;;
YDR478W;6;7;;;;
YDR479C;107;108;;;;
YDR480W;25;27;;;;
YDR481C;324;314;;;;
YDR482C;75;96;;;;
YDR483W;304;253;;;;
YDR484W;26;19;;;;
YDR485C;53;52;;;;
YDR486C;62;51;;;;
YDR487C;290;253;;;;
YDR488C;45;28;;;;
YDR489W;20;21;;;;
YDR490C;71;80;;;;
YDR491C;6;13;;;;
YDR492W;61;72;;;;
YDR493W;19;18;;;;
YDR494W;54;49;;;;
YDR495C;21;23;;;;
YDR496C;39;38;;;;
YDR497C;818;758;;;;
YDR498C;42;44;;;;
YDR499W;29;25;;;;
YDR500C;791;792;;;;
YDR500C;103;116;;;;
YDR501W;11;8;;;;
YDR502C;310;307;;;;
YDR503C;19;27;;;;
YDR504C;4;2;;;;
YDR505C;66;63;;;;
YDR506C;31;26;;;;
tL(CAA)D;0;0;;;;
tL(CAA)D;0;0;;;;
YDR507C;43;62;;;;
YDR508C;219;223;;;;
YDR509W;8;9;;;;
YDR510W;170;158;;;;
YDR510C-A;25;28;;;;
YDR511W;32;26;;;;
YDR512C;30;42;;;;
YDR513W;106;121;;;;
YDR514C;26;28;;;;
YDR515W;28;16;;;;
YDR516C;1306;1285;;;;
YDR517W;285;229;;;;
YDR518W;51;68;;;;
YDR519W;65;48;;;;
YDR520C;15;13;;;;
YDR521W;2;4;;;;
YDR522C;0;4;;;;
YDR523C;2;0;;;;
YDR524C;38;44;;;;
YDR524W-C;105;100;;;;
YDR524C-B;3441;3294;;;;
YDR524C-A;0;0;;;;
YDR525W;0;2;;;;
YDR525W-A;18;18;;;;
YDR526C;10;11;;;;
YDR527W;56;42;;;;
snR84;6;12;;;;
YDR528W;10;10;;;;
YDR529C;83;70;;;;
YDR530C;101;107;;;;
YDR531W;71;69;;;;
YDR532C;14;14;;;;
YDR533C;31;21;;;;
YDR534C;95;103;;;;
YDR535C;1;2;;;;
YDR535C;0;0;;;;
YDR536W;8;11;;;;
YDR537C;19;18;;;;
YDR538W;25;20;;;;
YDR539W;70;68;;;;
YDR540C;5;10;;;;
YDR541C;40;32;;;;
YDR542W;0;0;;;;
YDR543C;0;0;;;;
YDR544C;0;0;;;;
YDR545W;0;0;;;;
YDR545C-A;0;0;;;;
YIL177C;0;3;;;;
YIL177W-A;0;1;;;;
YIL177C;0;0;;;;
YIL176C;0;0;;;;
YIL175W;0;0;;;;
YIL174W;0;0;;;;
YIL173W;2;0;;;;
YIL172C;0;0;;;;
YIL171W-A;0;0;;;;
YIL171W;1;4;;;;
YIL170W;7;9;;;;
YIL169C;289;319;;;;
YIL168W;7;4;;;;
YIL167W;16;9;;;;
YIL166C;8;7;;;;
YIL165C;36;26;;;;
YIL164C;44;47;;;;
YIL163C;2;1;;;;
YIL162W;192;223;;;;
YIL161W;12;22;;;;
YIL160C;13;15;;;;
YIL159W;11;11;;;;
YIL158W;30;36;;;;
YIL157C;73;55;;;;
YIL156W-A;26;27;;;;
YIL156W-B;2;0;;;;
YIL156W-B;42;32;;;;
YIL156W;70;50;;;;
YIL155C;277;284;;;;
YIL154C;310;312;;;;
YIL153W;186;206;;;;
YIL152W;46;39;;;;
YIL151C;74;66;;;;
YIL150C;5;4;;;;
YIL149C;79;92;;;;
YIL148W;58;55;;;;
YIL148W;1010;998;;;;
YIL147C;72;93;;;;
YIL146C;11;21;;;;
YIL145C;95;117;;;;
YIL144W;31;32;;;;
YIL143C;68;63;;;;
YIL142C-A;44;46;;;;
YIL142W;441;396;;;;
YIL141W;1;3;;;;
YIL140W;59;55;;;;
YIL139C;9;12;;;;
YIL138C;33;55;;;;
YIL137C;106;114;;;;
YIL136W;261;240;;;;
YIL135C;101;115;;;;
YIL134C-A;1;0;;;;
snR68;1;1;;;;
YIL134W;21;32;;;;
YIL133C;575;560;;;;
YIL133C;22;33;;;;
YIL132C;4;8;;;;
YIL131C;19;19;;;;
YIL130W;24;25;;;;
YIL129C;107;122;;;;
YIL128W;38;49;;;;
YIL127C;18;25;;;;
YIL126W;119;123;;;;
YIL125W;166;180;;;;
YIL124W;199;191;;;;
YIL123W;515;519;;;;
YIL122W;26;31;;;;
YIL121W;138;177;;;;
YIL120W;31;19;;;;
YIL119C;30;28;;;;
YIL118W;105;78;;;;
YIL117C;117;101;;;;
YIL116W;89;99;;;;
YIL115W-A;21;38;;;;
YIL115C;109;152;;;;
YIL114C;57;60;;;;
YIL113W;40;48;;;;
YIL112W;92;71;;;;
YIL111W;2;1;;;;
YIL111W;57;60;;;;
YIL110W;32;26;;;;
YIL109C;328;296;;;;
YIL108W;99;100;;;;
YIL107C;59;68;;;;
YIL106W;0;0;;;;
YIL106W;76;70;;;;
YIL105C;78;73;;;;
YIL105W-A;14;12;;;;
YIL104C;13;11;;;;
YIL103W;27;23;;;;
YIL102C-A;6;5;;;;
YIL102C;0;2;;;;
tT(AGU)I1;0;0;;;;
YIL101C;108;112;;;;
YIL100C-A;1;4;;;;
YIL100W;0;1;;;;
YIL099W;32;33;;;;
YIL098C;35;32;;;;
YIL097W;25;24;;;;
YIL096C;7;13;;;;
tI(AAU)I1;0;0;;;;
YIL095W;35;35;;;;
YIL094C;262;250;;;;
YIL093C;58;64;;;;
YIL092W;10;18;;;;
YIL091C;16;19;;;;
YIL090W;26;39;;;;
YIL089W;2;7;;;;
tE(CUC)I;0;0;;;;
YIL088C;143;161;;;;
YIL087C;62;38;;;;
YIL086C;1;2;;;;
YIL085C;81;74;;;;
YIL084C;25;28;;;;
YIL083C;39;49;;;;
YIL080W;18;8;;;;
YIL082W-A;18;8;;;;
YIL082W;19;9;;;;
YIL080W;14;30;;;;
YIL082W-A;14;30;;;;
tI(AAU)I2;0;0;;;;
YIL079C;23;21;;;;
YIL078W;589;564;;;;
YIL077C;50;42;;;;
YIL076W;175;200;;;;
YIL075C;632;653;;;;
YIL074C;223;217;;;;
YIL073C;24;10;;;;
YIL073C;0;0;;;;
YIL072W;6;8;;;;
YIL071W-A;21;20;;;;
YIL071C;31;31;;;;
YIL070C;38;38;;;;
YIL069C;318;292;;;;
YIL069C;41;37;;;;
YIL068W-A;18;10;;;;
YIL068C;54;43;;;;
YIL067C;87;105;;;;
YIL066W-A;17;9;;;;
YIL066C;10;12;;;;
YIL065C;59;50;;;;
YIL064W;44;39;;;;
YIL063C;80;61;;;;
YIL062C;208;224;;;;
YIL061C;17;17;;;;
YIL060W;29;30;;;;
YIL059C;32;32;;;;
YIL058W;5;7;;;;
YIL057C;16;23;;;;
tS(UGA)I;1;0;;;;
YIL056W;111;117;;;;
YIL055C;28;33;;;;
YIL054W;0;1;;;;
YIL053W;1855;1829;;;;
YIL052C;704;717;;;;
YIL052C;78;60;;;;
