Geneid;ERR458493;ERR458494;;;;
YBL047C;485;500;;;;
YBL046W;74;92;;;;
YBL045C;230;197;;;;
YBL044W;2;2;;;;
YBL043W;12;5;;;;
YBL042C;47;48;;;;
YBL041W;321;309;;;;
YBL040C;74;62;;;;
YBL040C;11;5;;;;
YBL039W-B;4;10;;;;
YBL039C;77;68;;;;
YBL039C-A;5;7;;;;
YBL038W;61;48;;;;
YBL037W;65;58;;;;
YBL036C;43;44;;;;
YBL035C;20;21;;;;
YBL034C;21;12;;;;
YBL033C;156;154;;;;
YBL032W;133;138;;;;
YBL031W;11;19;;;;
YBL030C;385;430;;;;
YBL029C-A;16;29;;;;
YBL029W;31;27;;;;
YBL028C;15;11;;;;
YBL027W;46;51;;;;
YBL027W;1462;1419;;;;
YBL026W;8;8;;;;
YBL026W;24;21;;;;
YBL025W;10;5;;;;
YBL024W;78;68;;;;
YBL023C;67;53;;;;
YBL022C;192;168;;;;
YBL021C;44;39;;;;
YBL020W;43;35;;;;
YBL019W;17;15;;;;
YBL018C;28;29;;;;
YBL018C;4;9;;;;
YBL017C;244;260;;;;
YBL016W;45;49;;;;
YBL015W;96;104;;;;
tI(AAU)B;0;0;;;;
tG(GCC)B;0;0;;;;
YBL014C;26;22;;;;
YBL013W;4;6;;;;
YBL012C;18;15;;;;
YBL011W;137;150;;;;
YBL010C;17;17;;;;
YBL009W;19;16;;;;
YBL008W-A;0;0;;;;
YBL008W;26;25;;;;
YBL007C;373;357;;;;
YBL006C;134;160;;;;
YBL006W-A;60;56;;;;
YBL005W;55;48;;;;
YBL005W-B;3;3;;;;
YBL005W-A;3;3;;;;
YBL005W-B;21;16;;;;
tS(AGA)B;0;0;;;;
YBL004W;84;81;;;;
YBL003C;296;301;;;;
YBL002W;181;175;;;;
YBL001C;88;77;;;;
YBR001C;75;63;;;;
YBR002C;47;46;;;;
YBR003W;60;82;;;;
YBR004C;35;35;;;;
YBR005W;118;117;;;;
YBR006W;37;59;;;;
YBR007C;34;30;;;;
YBR008C;31;27;;;;
YBR009C;359;325;;;;
YBR010W;245;300;;;;
YBR011C;920;861;;;;
YBR012C;8;3;;;;
YBR012W-B;1;0;;;;
YBR012W-A;1;0;;;;
YBR012W-B;2;1;;;;
YBR013C;6;6;;;;
tT(AGU)B;0;0;;;;
YBR014C;32;37;;;;
YBR015C;214;207;;;;
YBR016W;167;173;;;;
YBR017C;100;116;;;;
YBR018C;11;2;;;;
YBR019C;4;9;;;;
YBR020W;8;14;;;;
YBR021W;15;26;;;;
YBR022W;19;27;;;;
YBR023C;128;127;;;;
YBR024W;29;21;;;;
YBR025C;540;561;;;;
YBR026C;79;71;;;;
YBR027C;3;3;;;;
YBR028C;44;52;;;;
YBR029C;81;76;;;;
YBR030W;36;32;;;;
YBR031W;955;934;;;;
YBR032W;10;4;;;;
YBR033W;17;23;;;;
YBR034C;110;116;;;;
YBR035C;116;120;;;;
snR161;0;0;;;;
TLC1;125;99;;;;
YBR036C;312;306;;;;
YBR037C;65;50;;;;
YBR038W;63;58;;;;
YBR039W;164;158;;;;
YBR040W;1;0;;;;
YBR041W;112;132;;;;
YBR042C;47;43;;;;
YBR043C;57;61;;;;
YBR044C;46;50;;;;
tV(UAC)B;0;0;;;;
YBR045C;8;5;;;;
YBR046C;78;56;;;;
YBR047W;13;10;;;;
YBR048W;83;80;;;;
YBR048W;963;972;;;;
YBR049C;56;55;;;;
YBR050C;35;34;;;;
YBR051W;4;6;;;;
YBR052C;191;210;;;;
YBR053C;98;88;;;;
YBR054W;75;75;;;;
YBR055C;29;27;;;;
tL(UAA)B2;0;0;;;;
YBR056W;125;148;;;;
tQ(UUG)B;0;0;;;;
YBR056W-A;90;62;;;;
YBR056C-B;90;62;;;;
YBR057C;61;72;;;;
YBR058C;58;72;;;;
YBR058C-A;51;57;;;;
YBR059C;188;239;;;;
YBR060C;34;40;;;;
YBR061C;16;13;;;;
YBR062C;37;34;;;;
YBR062C;1;1;;;;
YBR063C;13;15;;;;
YBR064W;6;3;;;;
YBR065C;4;6;;;;
YBR066C;13;18;;;;
YBR067C;604;564;;;;
YBR068C;505;483;;;;
YBR069C;195;176;;;;
YBR070C;13;19;;;;
YBR071W;36;49;;;;
YBR072W;29;15;;;;
YBR072C-A;0;1;;;;
YBR073W;61;78;;;;
YBR074W;78;71;;;;
YBR076W;7;7;;;;
YBR076C-A;12;15;;;;
YBR077C;28;46;;;;
YBR078W;41;32;;;;
YBR078W;1068;1064;;;;
YBR079C;326;370;;;;
YBR080C;128;101;;;;
YBR081C;57;60;;;;
tR(UCU)B;0;0;;;;
tD(GUC)B;0;0;;;;
YBR082C;388;374;;;;
YBR082C;53;63;;;;
YBR083W;55;80;;;;
YBR084W;185;186;;;;
YBR084C-A;803;790;;;;
YBR084C-A;16;13;;;;
YBR085W;26;27;;;;
YBR085C-A;147;117;;;;
YBR086C;296;308;;;;
YBR087W;30;43;;;;
YBR088C;44;58;;;;
YBR089W;40;50;;;;
YBR089C-A;113;132;;;;
YBR090C;50;45;;;;
YBR090C;6;3;;;;
YBR091C;12;12;;;;
YBR092C;196;170;;;;
YBR093C;181;167;;;;
YBR094W;45;37;;;;
YBR095C;32;39;;;;
YBR096W;57;38;;;;
YBR097W;33;35;;;;
YBR098W;20;14;;;;
YBR099C;2;5;;;;
YBR101C;56;58;;;;
YBR102C;41;22;;;;
YBR103W;60;40;;;;
YBR103C-A;1;0;;;;
YBR104W;50;26;;;;
YBR105C;79;64;;;;
YBR106W;721;689;;;;
YBR107C;20;24;;;;
YBR108W;126;113;;;;
YBR109C;241;202;;;;
YBR109W-A;0;3;;;;
YBR110W;72;66;;;;
YBR111C;139;156;;;;
YBR111W-A;4;6;;;;
YBR111W-A;7;10;;;;
YBR111W-A;7;10;;;;
YBR112C;285;294;;;;
YBR113W;20;19;;;;
YBR114W;56;59;;;;
YBR115C;180;166;;;;
YBR116C;4;1;;;;
YBR117C;19;16;;;;
YBR118W;2006;1934;;;;
YBR119W;0;1;;;;
YBR119W;21;22;;;;
YBR120C;13;14;;;;
YBR121C;540;520;;;;
YBR121C-A;37;36;;;;
YBR122C;52;38;;;;
YBR123C;35;52;;;;
YBR124W;1;0;;;;
YBR125C;56;45;;;;
YBR126C;1215;1060;;;;
YBR126W-A;331;330;;;;
YBR126W-B;271;283;;;;
YBR127C;553;555;;;;
YBR128C;14;10;;;;
YBR129C;30;27;;;;
YBR130C;44;50;;;;
YBR131W;8;19;;;;
YBR131C-A;1;0;;;;
YBR132C;53;62;;;;
YBR133C;62;46;;;;
YBR134W;1;3;;;;
YBR135W;62;54;;;;
YBR136W;35;33;;;;
YBR137W;21;22;;;;
YBR138C;23;14;;;;
YBR139W;172;213;;;;
YBR140C;110;132;;;;
YBR141C;11;13;;;;
YBR141W-A;2;3;;;;
YBR142W;35;33;;;;
YBR143C;275;267;;;;
YBR144C;0;0;;;;
YBR145W;269;292;;;;
YBR146W;89;95;;;;
YBR147W;22;24;;;;
YBR148W;5;6;;;;
YBR149W;359;354;;;;
YBR150C;51;57;;;;
YBR151W;167;139;;;;
YBR152W;10;10;;;;
YBR153W;37;37;;;;
YBR154C;40;41;;;;
YBR155W;39;43;;;;
YBR156C;14;9;;;;
YBR157C;31;28;;;;
YBR158W;150;134;;;;
YBR159W;166;140;;;;
YBR160W;58;66;;;;
YBR161W;32;32;;;;
YBR162C;794;798;;;;
YBR162W-A;54;76;;;;
YBR163W;39;38;;;;
YBR164C;78;60;;;;
YBR165W;17;19;;;;
YBR166C;44;40;;;;
YBR167C;20;21;;;;
YBR168W;11;18;;;;
YBR169C;94;100;;;;
YBR170C;74;73;;;;
YBR171W;57;47;;;;
YBR172C;67;78;;;;
YBR173C;148;141;;;;
YBR174C;9;8;;;;
YBR175W;42;45;;;;
